time,reading
1688276468.7459736,0
1688276468.747087,0
1688276468.7482328,0
1688276468.7493656,0
1688276468.7504811,0
1688276468.751595,0
1688276468.7527084,0
1688276468.7538261,0
1688276468.7549398,0
1688276468.7560537,0
1688276468.7571704,0
1688276468.7582846,0
1688276468.7593977,0
1688276468.760546,0
1688276468.7616627,0
1688276468.7627773,0
1688276468.763891,0
1688276468.765028,0
1688276468.7661798,0
1688276468.767294,0
1688276468.768406,0
1688276468.7695222,0
1688276468.7706375,0
1688276468.7717519,0
1688276468.7728658,0
1688276468.773982,0
1688276468.7750947,0
1688276468.776208,0
1688276468.7773237,0
1688276468.7784402,0
1688276468.7795532,0
1688276468.7806666,0
1688276468.7817836,0
1688276468.7828977,0
1688276468.784012,0
1688276468.785127,0
1688276468.7862399,0
1688276468.7873533,0
1688276468.7884665,0
1688276468.7895818,0
1688276468.7906954,0
1688276468.7918086,0
1688276468.7929215,0
1688276468.7940736,0
1688276468.7951872,0
1688276468.7963006,0
1688276468.7974164,0
1688276468.79853,0
1688276468.7996426,0
1688276468.8007555,0
1688276468.8018734,0
1688276468.802988,0
1688276468.8041015,0
1688276468.8052173,0
1688276468.806331,0
1688276468.8074436,0
1688276468.8085566,0
1688276468.8096716,0
1688276468.8107858,0
1688276468.8118987,0
1688276468.8130147,0
1688276468.8141284,0
1688276468.815242,0
1688276468.8163545,0
1688276468.8174703,0
1688276468.8185835,0
1688276468.8196979,0
1688276468.8208108,0
1688276468.821926,0
1688276468.8237517,0
1688276468.8249295,0
1688276468.8261106,0
1688276468.8272417,0
1688276468.8283784,0
1688276468.8294988,0
1688276468.8306136,0
1688276468.8317282,0
1688276468.832844,0
1688276468.8339612,0
1688276468.835076,0
1688276468.8361907,0
1688276468.8373072,0
1688276468.8384225,0
1688276468.8395634,0
1688276468.8407168,0
1688276468.8418496,0
1688276468.8429806,0
1688276468.8441064,0
1688276468.8452334,0
1688276468.8463473,0
1688276468.8474617,0
1688276468.8485758,0
1688276468.8496926,0
1688276468.8508077,0
1688276468.8519208,0
1688276468.8530366,0
1688276468.8541508,0
1688276468.8552642,0
1688276468.85638,0
1688276468.8574977,0
1688276468.8586142,0
1688276468.8597288,0
1688276468.8608756,0
1688276468.8619874,0
1688276468.8630993,0
1688276468.8642106,0
1688276468.8653293,0
1688276468.8664465,0
1688276468.8675601,0
1688276468.8686743,0
1688276468.8697882,0
1688276468.870902,0
1688276468.8720155,0
1688276468.8731344,0
1688276468.8742492,0
1688276468.8753629,0
1688276468.876477,0
1688276468.87759,0
1688276468.8787053,0
1688276468.8798187,0
1688276468.8809588,0
1688276468.8820758,0
1688276468.88319,0
1688276468.8843029,0
1688276468.8854196,0
1688276468.8865342,0
1688276468.8876476,0
1688276468.8887613,0
1688276468.8898776,0
1688276468.8909917,0
1688276468.8921103,0
1688276468.8932269,0
1688276468.8943408,0
1688276468.8954544,0
1688276468.896568,0
1688276468.8976836,0
1688276468.898798,0
1688276468.8999124,0
1688276468.9010289,0
1688276468.902143,0
1688276468.9032557,0
1688276468.904369,0
1688276468.9054844,0
1688276468.9065993,0
1688276468.9077127,0
1688276468.9088264,0
1688276468.9099426,0
1688276468.911057,0
1688276468.9121704,0
1688276468.913287,0
1688276468.9144008,0
1688276468.9155147,0
1688276468.916628,0
1688276468.9177437,0
1688276468.9188576,0
1688276468.919971,0
1688276468.921087,0
1688276468.9222012,0
1688276468.9233162,0
1688276468.9244301,0
1688276468.925546,0
1688276468.9266598,0
1688276468.9277735,0
1688276468.9288864,0
1688276468.9300008,0
1688276468.931117,0
1688276468.9322312,0
1688276468.933348,0
1688276468.9344625,0
1688276468.9355764,0
1688276468.9366903,0
1688276468.9378066,0
1688276468.9389207,0
1688276468.9400344,0
1688276468.94115,0
1688276468.942263,0
1688276468.9433904,0
1688276468.944513,0
1688276468.9456306,0
1688276468.9467454,0
1688276468.947859,0
1688276468.9489727,0
1688276468.9500868,0
1688276468.9512005,0
1688276468.9523141,0
1688276468.953431,0
1688276468.9545453,0
1688276468.9556587,0
1688276468.9567726,0
1688276468.9578888,0
1688276468.9590044,0
1688276468.9601185,0
1688276468.9612586,0
1688276468.9623754,0
1688276468.9634905,0
1688276468.9646046,0
1688276468.9657211,0
1688276468.9668365,0
1688276468.9679503,0
1688276468.9690673,0
1688276468.9701815,0
1688276468.971295,0
1688276468.972409,0
1688276468.9735253,0
1688276468.9746394,0
1688276468.9757533,0
1688276468.976867,0
1688276468.9779828,0
1688276468.9790964,0
1688276468.9802108,0
1688276468.9813266,0
1688276468.9824407,0
1688276468.9835541,0
1688276468.984668,0
1688276468.9857833,0
1688276468.9868975,0
1688276468.9880114,0
1688276468.9891276,0
1688276468.9902418,0
1688276468.9913557,0
1688276468.9924695,0
1688276468.9935856,0
1688276468.9947002,0
1688276468.9958146,0
1688276468.996928,0
1688276468.998071,0
1688276468.9991848,0
1688276469.000299,0
1688276469.001413,0
1688276469.0025272,0
1688276469.0036414,0
1688276469.0047555,0
1688276469.005871,0
1688276469.0069852,0
1688276469.0080988,0
1688276469.0092149,0
1688276469.0103292,0
1688276469.0114434,0
1688276469.0125573,0
1688276469.0136735,0
1688276469.0147877,0
1688276469.015901,0
1688276469.017017,0
1688276469.0181308,0
1688276469.0192442,0
1688276469.020358,0
1688276469.021474,0
1688276469.022587,0
1688276469.0237002,0
1688276469.024814,0
1688276469.0259295,0
1688276469.0270438,0
1688276469.0281577,0
1688276469.0292742,0
1688276469.030388,0
1688276469.0315013,0
1688276469.0326152,0
1688276469.0337296,0
1688276469.0348434,0
1688276469.035957,0
1688276469.037073,0
1688276469.0381866,0
1688276469.0393002,0
1688276469.0404136,0
1688276469.0415301,0
1688276469.0426443,0
1688276469.0437589,0
1688276469.0448728,0
1688276469.0459917,0
1688276469.047106,0
1688276469.048219,0
1688276469.0493324,0
1688276469.0504463,0
1688276469.05156,0
1688276469.0526733,0
1688276469.0537899,0
1688276469.0549042,0
1688276469.056018,0
1688276469.0571325,0
1688276469.0582485,0
1688276469.0593634,0
1688276469.0604784,0
1688276469.0616164,0
1688276469.0627337,0
1688276469.0638487,0
1688276469.0649662,0
1688276469.0660775,0
1688276469.0671885,0
1688276469.0682988,0
1688276469.069413,0
1688276469.0705285,0
1688276469.0716422,0
1688276469.072756,0
1688276469.073869,0
1688276469.0749822,0
1688276469.076096,0
1688276469.07721,0
1688276469.078323,0
1688276469.0794356,0
1688276469.080549,0
1688276469.0816653,0
1688276469.0827794,0
1688276469.0838935,0
1688276469.0850093,0
1688276469.0861235,0
1688276469.0872376,0
1688276469.0883515,0
1688276469.089467,0
1688276469.0905838,0
1688276469.0917141,0
1688276469.0928714,0
1688276469.0940034,0
1688276469.0951214,0
1688276469.0962353,0
1688276469.0973518,0
1688276469.0984654,0
1688276469.0995789,0
1688276469.1006925,0
1688276469.1018085,0
1688276469.1029224,0
1688276469.1040363,0
1688276469.1051524,0
1688276469.1062663,0
1688276469.1073797,0
1688276469.108493,0
1688276469.1096087,0
1688276469.1107225,0
1688276469.1118362,0
1688276469.1129754,0
1688276469.1140924,0
1688276469.1152062,0
1688276469.11632,0
1688276469.1174362,0
1688276469.1185505,0
1688276469.120025,0
1688276469.1211586,0
1688276469.122276,0
1688276469.1233914,0
1688276469.1245053,0
1688276469.1256218,0
1688276469.1267354,0
1688276469.1278496,0
1688276469.1289656,0
1688276469.1300807,0
1688276469.1311946,0
1688276469.1323085,0
1688276469.1334252,0
1688276469.1345398,0
1688276469.135654,0
1688276469.1367676,0
1688276469.1378837,0
1688276469.1389985,0
1688276469.1401124,0
1688276469.1412284,0
1688276469.142344,0
1688276469.1434565,0
1688276469.1445708,0
1688276469.145687,0
1688276469.1468008,0
1688276469.1479154,0
1688276469.1490314,0
1688276469.1501458,0
1688276469.15126,0
1688276469.152374,0
1688276469.1534898,0
1688276469.1546042,0
1688276469.1557188,0
1688276469.1568341,0
1688276469.15795,0
1688276469.1590633,0
1688276469.1601772,0
1688276469.1612928,0
1688276469.1624448,0
1688276469.1635604,0
1688276469.164675,0
1688276469.1657925,0
1688276469.1669066,0
1688276469.1680202,0
1688276469.169136,0
1688276469.170281,0
1688276469.1714177,0
1688276469.1725333,0
1688276469.1736512,0
1688276469.174765,0
1688276469.1758778,0
1688276469.1769936,0
1688276469.178108,0
1688276469.1792223,0
